attendance_id,employee_id,attendance_date,status,check_in,check_out,overtime_hours,year,month,month_name,day_name
ATT021419,EMP00001,2025-03-07,Work From Home,08:15:00,18:22:00,0.0,2025,3,March,Friday
ATT010152,EMP00001,2025-03-09,Present,08:05:00,18:06:00,0.0,2025,3,March,Sunday
ATT033289,EMP00001,2025-04-15,Present,10:57:00,19:07:00,0.0,2025,4,April,Tuesday
ATT036100,EMP00001,2025-07-28,Present,09:58:00,17:46:00,0.0,2025,7,July,Monday
ATT000670,EMP00001,2025-09-18,Present,10:25:00,18:19:00,0.0,2025,9,September,Thursday
ATT007267,EMP00001,2025-10-20,Half Day,10:29:00,18:19:00,0.0,2025,10,October,Monday
ATT033665,EMP00001,2025-11-28,Present,10:59:00,20:52:00,0.0,2025,11,November,Friday
ATT029404,EMP00001,2026-01-22,Present,09:06:00,20:28:00,0.0,2026,1,January,Thursday
ATT011881,EMP00001,2026-04-20,Present,09:42:00,19:32:00,0.0,2026,4,April,Monday
ATT000026,EMP00002,2025-01-19,Present,09:41:00,19:15:00,3.9,2025,1,January,Sunday
ATT003230,EMP00002,2025-04-23,Work From Home,10:52:00,19:10:00,0.0,2025,4,April,Wednesday
ATT017322,EMP00002,2025-05-09,Present,08:30:00,19:25:00,0.0,2025,5,May,Friday
ATT038499,EMP00002,2025-05-29,Present,08:50:00,17:40:00,0.0,2025,5,May,Thursday
ATT020336,EMP00002,2025-08-07,Present,08:36:00,17:11:00,0.0,2025,8,August,Thursday
ATT032722,EMP00002,2025-10-01,Present,10:29:00,19:30:00,0.0,2025,10,October,Wednesday
ATT014924,EMP00002,2025-10-11,Present,08:51:00,17:14:00,2.1,2025,10,October,Saturday
ATT008474,EMP00002,2025-12-12,Work From Home,10:40:00,20:18:00,0.0,2025,12,December,Friday
ATT025522,EMP00002,2025-12-19,Absent,,,0.0,2025,12,December,Friday
ATT010453,EMP00002,2026-01-28,Present,09:18:00,19:18:00,0.0,2026,1,January,Wednesday
ATT019046,EMP00002,2026-04-24,Present,10:26:00,19:04:00,0.0,2026,4,April,Friday
