leave_id,employee_id,leave_type,start_date,end_date,days_taken,status
LV00001,EMP02166,Sick Leave,2026-04-29,2026-05-06,7,Rejected
LV00002,EMP02394,Maternity Leave,2025-12-17,2025-12-20,3,Pending
LV00003,EMP00868,Casual Leave,2026-04-20,2026-04-26,6,Rejected
LV00004,EMP01611,Unpaid Leave,2026-05-22,2026-05-24,2,Pending
LV00005,EMP00862,Maternity Leave,2025-03-24,2025-03-26,2,Rejected
LV00006,EMP01015,Sick Leave,2026-04-17,2026-04-25,8,Rejected
LV00007,EMP00498,Earned Leave,2025-10-17,2025-10-24,7,Pending
LV00008,EMP00526,Maternity Leave,2025-10-29,2025-11-06,8,Approved
LV00009,EMP01932,Paternity Leave,2026-06-30,2026-07-01,1,Pending
LV00010,EMP02599,Casual Leave,2025-09-14,2025-09-18,4,Pending
LV00011,EMP01061,Earned Leave,2026-05-16,2026-05-24,8,Rejected
LV00012,EMP00888,Maternity Leave,2026-01-04,2026-01-09,5,Pending
LV00013,EMP01260,Earned Leave,2025-05-17,2025-05-23,6,Pending
LV00014,EMP00345,Unpaid Leave,2025-02-27,2025-03-04,5,Approved
LV00015,EMP02320,Earned Leave,2026-04-25,2026-05-05,10,Rejected
LV00016,EMP00317,Sick Leave,2025-10-02,2025-10-12,10,Rejected
LV00017,EMP00801,Earned Leave,2025-01-01,2025-01-08,7,Approved
LV00018,EMP01324,Paternity Leave,2026-03-01,2026-03-05,4,Pending
LV00019,EMP01165,Maternity Leave,2025-04-21,2025-04-24,3,Approved
LV00020,EMP01123,Unpaid Leave,2026-07-12,2026-07-20,8,Pending
LV00021,EMP00158,Earned Leave,2025-11-26,2025-12-01,5,Approved
LV00022,EMP02106,Casual Leave,2025-10-06,2025-10-15,9,Rejected
LV00023,EMP00578,Sick Leave,2025-06-06,2025-06-13,7,Approved
LV00024,EMP02671,Paternity Leave,2026-04-07,2026-04-15,8,Approved
LV00025,EMP02391,Maternity Leave,2026-05-25,2026-05-31,6,Approved
LV00026,EMP00537,Earned Leave,2025-02-27,2025-03-07,8,Approved
LV00027,EMP02322,Casual Leave,2025-12-14,2025-12-16,2,Approved
LV00028,EMP01947,Casual Leave,2025-12-23,2025-12-31,8,Pending
LV00029,EMP00290,Unpaid Leave,2026-03-03,2026-03-08,5,Pending
LV00030,EMP01348,Sick Leave,2025-03-23,2025-03-30,7,Approved
LV00031,EMP01917,Casual Leave,2026-03-30,2026-03-31,1,Pending
LV00032,EMP00698,Paternity Leave,2025-04-13,2025-04-22,9,Rejected
LV00033,EMP00043,Maternity Leave,2025-07-22,2025-07-28,6,Approved
LV00034,EMP02481,Casual Leave,2026-02-15,2026-02-19,4,Approved
LV00035,EMP02064,Unpaid Leave,2025-07-13,2025-07-16,3,Approved
LV00036,EMP00025,Sick Leave,2025-06-05,2025-06-15,10,Approved
LV00037,EMP02223,Earned Leave,2025-02-19,2025-02-26,7,Pending
LV00038,EMP03191,Casual Leave,2026-01-23,2026-01-29,6,Pending
LV00039,EMP00221,Sick Leave,2026-02-27,2026-03-07,8,Approved
LV00040,EMP01696,Earned Leave,2025-11-29,2025-12-06,7,Rejected
LV00041,EMP00824,Paternity Leave,2026-03-12,2026-03-19,7,Rejected
LV00042,EMP01040,Casual Leave,2025-11-27,2025-11-29,2,Rejected
LV00043,EMP01397,Earned Leave,2025-03-03,2025-03-05,2,Approved
LV00044,EMP01572,Maternity Leave,2025-08-14,2025-08-21,7,Approved
LV00045,EMP02655,Paternity Leave,2025-11-12,2025-11-17,5,Rejected
LV00046,EMP03183,Unpaid Leave,2025-08-22,2025-08-31,9,Approved
LV00047,EMP01731,Paternity Leave,2026-05-16,2026-05-20,4,Approved
LV00048,EMP01169,Sick Leave,2025-07-13,2025-07-20,7,Approved
LV00049,EMP00021,Paternity Leave,2025-09-16,2025-09-19,3,Rejected
LV00050,EMP01884,Earned Leave,2026-02-09,2026-02-18,9,Rejected
LV00051,EMP03006,Sick Leave,2025-02-03,2025-02-04,1,Rejected
LV00052,EMP02832,Unpaid Leave,2025-12-28,2026-01-01,4,Rejected
LV00053,EMP02946,Casual Leave,2025-07-18,2025-07-24,6,Rejected
LV00054,EMP00809,Earned Leave,2025-06-16,2025-06-18,2,Approved
LV00055,EMP00328,Unpaid Leave,2025-01-01,2025-01-07,6,Approved
LV00056,EMP01686,Casual Leave,2025-04-10,2025-04-11,1,Pending
LV00057,EMP00620,Earned Leave,2025-12-28,2026-01-06,9,Approved
LV00058,EMP03105,Maternity Leave,2025-02-08,2025-02-17,9,Rejected
LV00059,EMP02115,Sick Leave,2025-05-25,2025-05-26,1,Approved
LV00060,EMP00909,Casual Leave,2025-02-24,2025-03-05,9,Pending
LV00061,EMP01768,Unpaid Leave,2026-05-01,2026-05-02,1,Approved
LV00062,EMP01902,Maternity Leave,2025-03-25,2025-03-30,5,Pending
LV00063,EMP00661,Earned Leave,2025-08-10,2025-08-16,6,Approved
LV00064,EMP02856,Paternity Leave,2026-01-09,2026-01-12,3,Pending
LV00065,EMP01559,Earned Leave,2025-10-26,2025-11-03,8,Approved
LV00066,EMP03107,Earned Leave,2025-07-07,2025-07-17,10,Pending
LV00067,EMP00192,Maternity Leave,2025-12-10,2025-12-14,4,Rejected
LV00068,EMP02867,Unpaid Leave,2025-06-04,2025-06-11,7,Rejected
