review_id,employee_id,review_period,performance_rating,productivity_score,promotion_recommended,manager_comments_flag
PRF00001,EMP01873,2025-H2,2,69.9,No,Yes
PRF00002,EMP02127,2026-H1,,80.9,No,Yes
PRF00003,EMP02652,2026-H1,5,41.0,Yes,No
PRF00004,EMP00110,2025-H2,3,83.7,Yes,Yes
PRF00005,EMP00647,2024-H1,3,79.2,No,Yes
PRF00006,EMP00746,2025-H1,3,75.6,No,No
PRF00007,EMP00501,2025-H2,3,79.2,No,No
PRF00008,EMP00650,2025-H2,1,41.3,No,No
PRF00009,EMP01269,2025-H1,5,81.8,No,Yes
PRF00010,EMP02240,2026-H1,3,97.8,No,Yes
PRF00011,EMP01412,2026-H1,3,82.7,No,No
PRF00012,EMP01669,2025-H1,4,77.5,Yes,No
PRF00013,EMP00986,2024-H2,4,74.7,No,Yes
PRF00014,EMP02347,2024-H2,4,46.5,Yes,No
PRF00015,EMP00583,2025-H1,3,48.4,No,No
PRF00016,EMP00221,2024-H2,3,83.0,No,Yes
PRF00017,EMP00935,2024-H2,3,95.8,No,No
PRF00018,EMP00758,2026-H1,2,97.2,No,No
PRF00019,EMP01822,2024-H2,5,56.1,No,No
PRF00020,EMP02417,2025-H1,4,84.4,No,Yes
PRF00021,EMP01405,2026-H1,5,44.1,No,No
PRF00022,EMP01116,2024-H2,4,54.8,No,No
PRF00023,EMP01505,2024-H1,2,69.8,No,No
PRF00024,EMP02208,2025-H1,4,97.7,Yes,No
PRF00025,EMP01414,2024-H1,5,90.9,No,No
PRF00026,EMP00307,2024-H1,3,45.7,No,Yes
PRF00027,EMP00652,2024-H2,4,97.6,No,Yes
PRF00028,EMP01758,2024-H1,1,41.6,Yes,Yes
PRF00029,EMP00960,2026-H1,3,67.7,No,No
PRF00030,EMP01217,2024-H2,4,50.9,No,No
PRF00031,EMP00649,2026-H1,2,47.9,Yes,No
PRF00032,EMP02719,2024-H1,,73.8,No,Yes
PRF00033,EMP01671,2024-H1,4,58.8,Yes,Yes
PRF00034,EMP00325,2024-H2,4,92.5,No,No
PRF00035,EMP02168,2025-H1,3,67.5,No,Yes
PRF00036,EMP01294,2024-H2,4,76.9,No,Yes
PRF00037,EMP00025,2024-H2,3,62.5,No,No
PRF00038,EMP02332,2024-H2,4,52.7,Yes,No
PRF00039,EMP02523,2026-H1,3,94.3,No,Yes
PRF00040,EMP01461,2024-H1,3,77.7,Yes,Yes
PRF00041,EMP01621,2026-H1,3,47.1,No,No
